f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f jL1m jL1f jL2m jL2f jV0500m jV0500f jV0600m jV0600f jV0700m jV0700f jV0200m jV0200f 
6.73415 0.00137775 -90.0024 0 0 0.000153083 89.998 0.445697 1.5617e-005 0 0 1 0 0 180 0.00361797 180 1.37775e-008 89.9976 7.54332e-012 90 6.51736e-010 -90 5.10432e-010 90.0003 1.11424e-005 179.999 
6.89261 0.00141017 -90.0025 0 0 0.000156685 89.998 0.445697 1.59845e-005 0 0 1 0 0 180 0.00361797 180 1.41017e-008 89.9975 7.72083e-012 90 6.67072e-010 -90 5.22443e-010 90.0003 1.11424e-005 179.999 
7.0548 0.00144335 -90.0026 0 0 0.000160372 89.9979 0.445697 1.63606e-005 0 0 1 0 0 180 0.00361797 180 1.44335e-008 89.9974 7.9025e-012 90 6.82769e-010 -90 5.34736e-010 90.0003 1.11424e-005 179.999 
7.22081 0.00147731 -90.0026 0 0 0.000164146 89.9979 0.445697 1.67456e-005 0 0 1 0 0 180 0.00361797 180 1.47731e-008 89.9974 8.08846e-012 90 6.98835e-010 -90 5.47319e-010 90.0003 1.11424e-005 179.999 
7.39072 0.00151208 -90.0027 0 0 0.000168009 89.9978 0.445697 1.71397e-005 0 0 1 0 0 180 0.00361797 180 1.51208e-008 89.9973 8.27879e-012 90 7.15279e-010 -90 5.60198e-010 90.0003 1.11424e-005 179.999 
7.56463 0.00154766 -90.0027 0 0 0.000171962 89.9978 0.445697 1.7543e-005 0 0 1 0 0 180 0.00361797 180 1.54766e-008 89.9973 8.4736e-012 90 7.3211e-010 -90 5.7338e-010 90.0003 1.11424e-005 179.999 
7.74264 0.00158408 -90.0028 0 0 0.000176008 89.9977 0.445697 1.79558e-005 0 0 1 0 0 180 0.00361797 180 1.58408e-008 89.9972 8.67299e-012 90 7.49338e-010 -90 5.86872e-010 90.0004 1.11424e-005 179.999 
7.92483 0.00162135 -90.0029 0 0 0.00018015 89.9977 0.445697 1.83783e-005 0 0 1 0 0 180 0.00361797 180 1.62135e-008 89.9971 8.87707e-012 90 7.6697e-010 -90 6.00682e-010 90.0004 1.11424e-005 179.999 
8.11131 0.0016595 -90.0029 0 0 0.000184389 89.9976 0.445697 1.88108e-005 0 0 1 0 0 180 0.00361797 180 1.6595e-008 89.9971 9.08596e-012 90 7.85018e-010 -90 6.14817e-010 90.0004 1.11424e-005 179.999 
8.30218 0.00169855 -90.003 0 0 0.000188728 89.9976 0.445697 1.92534e-005 0 0 1 0 0 180 0.00361797 180 1.69855e-008 89.997 9.29976e-012 90 8.0349e-010 -90 6.29284e-010 90.0004 1.11424e-005 179.999 
8.49753 0.00173852 -90.0031 0 0 0.000193169 89.9975 0.445697 1.97064e-005 0 0 1 0 0 180 0.00361797 180 1.73852e-008 89.9969 9.5186e-012 90 8.22397e-010 -90 6.44092e-010 90.0004 1.11424e-005 179.999 
8.69749 0.00177943 -90.0031 0 0 0.000197714 89.9974 0.445697 2.01702e-005 0 0 1 0 0 180 0.00361797 180 1.77943e-008 89.9969 9.74258e-012 90 8.41749e-010 -90 6.59248e-010 90.0004 1.11424e-005 179.999 
8.90215 0.0018213 -90.0032 0 0 0.000202367 89.9974 0.445697 2.06448e-005 0 0 1 0 0 180 0.00361797 180 1.8213e-008 89.9968 9.97183e-012 90 8.61556e-010 -90 6.74761e-010 90.0004 1.11424e-005 179.999 
9.11163 0.00186416 -90.0033 0 0 0.000207129 89.9973 0.445697 2.11306e-005 0 0 1 0 0 180 0.00361797 180 1.86416e-008 89.9967 1.02065e-011 90 8.8183e-010 -90 6.90638e-010 90.0004 1.11424e-005 179.999 
9.32603 0.00190802 -90.0034 0 0 0.000212003 89.9973 0.445697 2.16278e-005 0 0 1 0 0 180 0.00361797 180 1.90802e-008 89.9966 1.04466e-011 90 9.0258e-010 -90 7.0689e-010 90.0004 1.11424e-005 179.999 
9.54548 0.00195292 -90.0035 0 0 0.000216991 89.9972 0.445697 2.21367e-005 0 0 1 0 0 180 0.00361797 180 1.95292e-008 89.9965 1.06925e-011 90 9.23819e-010 -90 7.23524e-010 90.0004 1.11424e-005 179.999 
9.7701 0.00199888 -90.0035 0 0 0.000222097 89.9971 0.445697 2.26576e-005 0 0 1 0 0 180 0.00361797 180 1.99888e-008 89.9965 1.09441e-011 90 9.45557e-010 -90 7.40549e-010 90.0004 1.11424e-005 179.999 
10 0.00204591 -90.0036 0 0 0.000227324 89.9971 0.445697 2.31908e-005 0 0 1 0 0 180 0.00361797 180 2.04591e-008 89.9964 1.12016e-011 90 9.67807e-010 -90 7.57975e-010 90.0005 1.11424e-005 179.999 
