f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f jV0500m jV0500f jV0800m jV0800f jV1000m jV1000f jV1400m jV1400f jV1500m jV1500f 
2.65609 0.484519 -179.996 0.999241 -5.77549e-006 0.00221824 0.00285518 0.781943 -2.88574e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.988 0.00175796 0.00369879 0.00173333 -179.996 0 0 0 0 5.21984e-015 90 9.40744e-018 -89.9963 1.785e-014 -90 1.25869e-016 -89.9963 3.23972e-007 -179.999 
2.71859 0.484519 -179.996 0.999241 -5.91139e-006 0.00221824 0.00292236 0.781943 -2.95365e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.988 0.00175796 0.00378583 0.00173333 -179.996 0 0 0 0 5.34267e-015 90 9.62881e-018 -89.9962 1.82701e-014 -90 1.28831e-016 -89.9962 3.23972e-007 -179.999 
2.78256 0.484519 -179.996 0.999241 -6.05049e-006 0.00221824 0.00299113 0.781943 -3.02315e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.988 0.00175796 0.00387491 0.00173333 -179.996 0 0 0 0 5.46839e-015 90 9.85538e-018 -89.9961 1.87e-014 -90 1.31863e-016 -89.9961 3.23972e-007 -179.999 
2.84804 0.484519 -179.996 0.999241 -6.19287e-006 0.00221824 0.00306152 0.781943 -3.09429e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.987 0.00175796 0.00396609 0.00173333 -179.996 0 0 0 0 5.59706e-015 90 1.00873e-017 -89.996 1.914e-014 -90 1.34966e-016 -89.996 3.23972e-007 -179.999 
2.91505 0.484519 -179.996 0.999241 -6.33859e-006 0.00221824 0.00313356 0.781943 -3.1671e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.987 0.00175796 0.00405942 0.00173333 -179.996 0 0 0 0 5.72877e-015 90 1.03247e-017 -89.9959 1.95904e-014 -90 1.38142e-016 -89.9959 3.23972e-007 -179.999 
2.98365 0.484519 -179.996 0.999241 -6.48775e-006 0.00221824 0.00320729 0.781943 -3.24162e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.987 0.00175796 0.00415494 0.00173333 -179.996 0 0 0 0 5.86357e-015 90 1.05676e-017 -89.9958 2.00514e-014 -90 1.41392e-016 -89.9958 3.23972e-007 -179.999 
3.05386 0.484519 -179.996 0.999241 -6.64041e-006 0.00221824 0.00328276 0.781943 -3.3179e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.986 0.00175796 0.00425271 0.00173333 -179.996 0 0 0 0 6.00155e-015 90 1.08163e-017 -89.9957 2.05232e-014 -90 1.44719e-016 -89.9957 3.23972e-007 -179.999 
3.12572 0.484519 -179.996 0.999241 -6.79666e-006 0.00221824 0.00336001 0.781943 -3.39597e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.986 0.00175796 0.00435278 0.00173333 -179.996 0 0 0 0 6.14277e-015 90 1.10708e-017 -89.9956 2.10061e-014 -90 1.48125e-016 -89.9956 3.23972e-007 -179.999 
3.19927 0.484519 -179.996 0.999241 -6.9566e-006 0.00221824 0.00343907 0.781943 -3.47589e-006 0 0 0.00177155 -179.996 0.00140925 -179.996 0 0 0.002201 -179.997 1 0 0.000533554 179.986 0.00175796 0.00445521 0.00173333 -179.996 0 0 0 0 6.28732e-015 90 1.13313e-017 -89.9955 2.15004e-014 -90 1.5161e-016 -89.9955 3.23972e-007 -179.999 
3.27455 0.484519 -179.995 0.999241 -7.12029e-006 0.00221824 0.00352 0.781943 -3.55768e-006 0 0 0.00177155 -179.995 0.00140925 -179.995 0 0 0.002201 -179.996 1 0 0.000533554 179.985 0.00175796 0.00456004 0.00173333 -179.995 0 0 0 0 6.43526e-015 90 1.15979e-017 -89.9954 2.20064e-014 -90 1.55178e-016 -89.9954 3.23972e-007 -179.999 
3.3516 0.484519 -179.995 0.999241 -7.28784e-006 0.00221824 0.00360283 0.781943 -3.64139e-006 0 0 0.00177155 -179.995 0.00140925 -179.995 0 0 0.002201 -179.996 1 0 0.000533554 179.985 0.00175796 0.00466734 0.00173333 -179.995 0 0 0 0 6.58669e-015 90 1.18708e-017 -89.9953 2.25242e-014 -90 1.58829e-016 -89.9953 3.23972e-007 -179.999 
3.43047 0.484519 -179.995 0.999241 -7.45933e-006 0.00221824 0.00368761 0.781943 -3.72708e-006 0 0 0.00177155 -179.995 0.00140925 -179.995 0 0 0.002201 -179.996 1 0 0.000533554 179.985 0.00175796 0.00477717 0.00173333 -179.995 0 0 0 0 6.74168e-015 90 1.21502e-017 -89.9952 2.30542e-014 -90 1.62567e-016 -89.9952 3.23972e-007 -179.999 
3.51119 0.484519 -179.995 0.999241 -7.63486e-006 0.00221824 0.00377438 0.781943 -3.81478e-006 0 0 0.00177155 -179.995 0.00140925 -179.995 0 0 0.002201 -179.996 1 0 0.000533554 179.984 0.00175796 0.00488958 0.00173333 -179.995 0 0 0 0 6.90032e-015 90 1.24361e-017 -89.9951 2.35967e-014 -90 1.66392e-016 -89.9951 3.23972e-007 -179.999 
3.59381 0.484519 -179.995 0.999241 -7.81451e-006 0.00221824 0.00386319 0.781943 -3.90455e-006 0 0 0.00177155 -179.995 0.00140925 -179.995 0 0 0.002201 -179.996 1 0 0.000533554 179.984 0.00175796 0.00500464 0.00173333 -179.995 0 0 0 0 7.06269e-015 90 1.27287e-017 -89.995 2.4152e-014 -90 1.70307e-016 -89.995 3.23972e-007 -179.999 
3.67838 0.484519 -179.995 0.999241 -7.9984e-006 0.00221824 0.0039541 0.781943 -3.99642e-006 0 0 0.00177155 -179.995 0.00140925 -179.995 0 0 0.002201 -179.996 1 0 0.000533554 179.984 0.00175796 0.0051224 0.00173333 -179.995 0 0 0 0 7.22889e-015 90 1.30282e-017 -89.9949 2.47203e-014 -90 1.74315e-016 -89.9949 3.23972e-007 -179.999 
3.76494 0.484519 -179.995 0.999241 -8.18661e-006 0.00221824 0.00404714 0.781943 -4.09046e-006 0 0 0.00177155 -179.995 0.00140925 -179.995 0 0 0.002201 -179.996 1 0 0.000533554 179.983 0.00175796 0.00524294 0.00173333 -179.995 0 0 0 0 7.39899e-015 90 1.33348e-017 -89.9947 2.5302e-014 -90 1.78417e-016 -89.9947 3.23972e-007 -179.999 
3.85353 0.484519 -179.995 0.999241 -8.37925e-006 0.00221824 0.00414238 0.781943 -4.18672e-006 0 0 0.00177155 -179.995 0.00140925 -179.995 0 0 0.002201 -179.996 1 0 0.000533554 179.983 0.00175796 0.00536631 0.00173333 -179.995 0 0 0 0 7.57309e-015 90 1.36486e-017 -89.9946 2.58974e-014 -90 1.82615e-016 -89.9946 3.23972e-007 -179.999 
3.94421 0.484519 -179.995 0.999241 -8.57642e-006 0.00221824 0.00423985 0.781943 -4.28523e-006 0 0 0.00177155 -179.995 0.00140925 -179.994 0 0 0.002201 -179.996 1 0 0.000533554 179.983 0.00175796 0.00549259 0.00173333 -179.994 0 0 0 0 7.7513e-015 90 1.39698e-017 -89.9945 2.65068e-014 -90 1.86912e-016 -89.9945 3.23972e-007 -179.999 
4.03702 0.484519 -179.994 0.999241 -8.77823e-006 0.00221824 0.00433962 0.781943 -4.38607e-006 0 0 0.00177155 -179.994 0.00140925 -179.994 0 0 0.002201 -179.996 1 0 0.000533554 179.982 0.00175796 0.00562183 0.00173333 -179.994 0 0 0 0 7.93369e-015 90 1.42985e-017 -89.9944 2.71305e-014 -90 1.9131e-016 -89.9944 3.23972e-007 -179.999 
4.13201 0.484519 -179.994 0.999241 -8.98479e-006 0.00221824 0.00444173 0.781943 -4.48928e-006 0 0 0.00177155 -179.994 0.00140925 -179.994 0 0 0.002201 -179.996 1 0 0.000533554 179.982 0.00175796 0.00575412 0.00173333 -179.994 0 0 0 0 8.12038e-015 90 1.46349e-017 -89.9942 2.77689e-014 -90 1.95812e-016 -89.9942 3.23972e-007 -179.999 
4.22924 0.484519 -179.994 0.999241 -9.19621e-006 0.00221824 0.00454625 0.781943 -4.59492e-006 0 0 0.00177155 -179.994 0.00140925 -179.994 0 0 0.002201 -179.995 1 0 0.000533554 179.981 0.00175796 0.00588952 0.00173333 -179.994 0 0 0 0 8.31146e-015 90 1.49793e-017 -89.9941 2.84223e-014 -90 2.0042e-016 -89.9941 3.23972e-007 -179.999 
4.32876 0.484519 -179.994 0.999241 -9.41261e-006 0.00221824 0.00465323 0.781943 -4.70304e-006 0 0 0.00177155 -179.994 0.00140925 -179.994 0 0 0.002201 -179.995 1 0 0.000533554 179.981 0.00175796 0.00602811 0.00173333 -179.994 0 0 0 0 8.50704e-015 90 1.53318e-017 -89.994 2.90911e-014 -90 2.05136e-016 -89.994 3.23972e-007 -179.999 
4.43062 0.484519 -179.994 0.999241 -9.6341e-006 0.00221824 0.00476273 0.781943 -4.81371e-006 0 0 0.00177155 -179.994 0.00140925 -179.994 0 0 0.002201 -179.995 1 0 0.000533554 179.98 0.00175796 0.00616995 0.00173333 -179.994 0 0 0 0 8.70722e-015 90 1.56926e-017 -89.9938 2.97757e-014 -90 2.09963e-016 -89.9938 3.23972e-007 -179.999 
4.53488 0.484519 -179.994 0.999241 -9.8608e-006 0.00221824 0.0048748 0.781943 -4.92698e-006 0 0 0.00177155 -179.994 0.00140925 -179.994 0 0 0.002201 -179.995 1 0 0.000533554 179.98 0.00175796 0.00631514 0.00173333 -179.994 0 0 0 0 8.91211e-015 90 1.60618e-017 -89.9937 3.04763e-014 -90 2.14903e-016 -89.9937 3.23972e-007 -179.999 
